Usia ,USIA,Jenis Kelamin,KELAMIN,Pekerjaan ,Pendidikan ,Pendapatan ,Kepemilikan Kendaraan,PENGALAMAN MENGGUNAKAN SOL,PENGALAMAN,Pengalaman/ Frekuensi Berkunjung (1 Tahun) ,Asal Perjalanan,Alasan Berkunjung,Tujuan Perjalanan ,Moda Transportasi Sering Digunakan ,Cara Mencapai Moda Transportasi ,Alasan Menggunakan Moda Transportasi ,X11,X12,X13,X14,X21,X22,X23,X24,X31,X32,X33,X41,X42,X43,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kemudahan",3,4,4,4,2,2,3,2,4,4,4,4,3,3,4,4,3,5,4,3,3,4,4,4,3,4
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 4x sebulan,Jawa Timur,Wisata/ Rekreasi/ Kuliner,Pasar Beringharjo,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Ramah Lingkungan, Pengalaman menarik, Kemudahan",5,5,3,5,4,4,4,2,4,4,3,4,4,4,5,5,5,4,4,3,4,4,3,3,3,4
36 - 45 Tahun,3,Laki-laki,1,Pelajar/Mahasiswa,S1,2 – 5 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Solo Raya,Mengunjungi Keluarga,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",5,5,5,5,4,4,3,1,5,5,5,5,5,5,3,5,5,5,5,3,4,5,5,5,5,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kenyamanan, Kemudahan",3,3,5,5,3,4,4,2,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Bekerja,"Kawasan Malioboro, Area Keraton Yogyakarta, Pasar Beringharjo","Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Biaya Murah, Keamanan, Pengalaman menarik, Kenyamanan, Kemudahan",4,4,3,4,4,4,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4
36 - 45 Tahun,3,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,> 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Bekerja,"Kawasan Malioboro, Hotel/ Penginapan","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S2,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Bekerja,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Kemudahan",4,4,5,2,4,4,2,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Barat,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta",Berjalan Kaki,Berjalan Kaki,Pengalaman menarik,4,4,4,3,4,4,4,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,5
36 - 45 Tahun,3,Laki-laki,1,Pelajar/Mahasiswa,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Mengunjungi Keluarga,Hotel/ Penginapan,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),"Telpon/ WA/ SMS, lainnya","Kenyamanan, Kemudahan",3,4,3,2,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4
36 - 45 Tahun,3,Laki-laki,1,ASN/TNI/Polri,S1,5 – 8 Juta,Memiliki,Belum,2,1 – 4x sebulan,Jakarta dan sekitarnya,Pendidikan,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Berjalan Kaki,"Ramah Lingkungan, Kemudahan",2,3,4,4,5,5,5,5,3,4,3,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5
36 - 45 Tahun,3,Perempuan,2,ASN/TNI/Polri,S1,2 – 5 Juta,Tidak Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)","Telpon/ WA/ SMS, lainnya","Waktu lebih singkat, Kenyamanan, Kemudahan",5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
